event,session,car,driver,lap,kph,parse_error,vehicle,report_type,round,source_file,extracted_at
TAS,P01,9,Jobe Stewart,13,247,FALSE,Chevrolet,top_speed,NaN,E:\2026\99_seasonTiming\05_TAS\top_speed\Practice 1.pdf,26/05/2026 8:36
TAS,P01,9,Jobe Stewart,14,248,FALSE,Chevrolet,top_speed,NaN,E:\2026\99_seasonTiming\05_TAS\top_speed\Practice 1.pdf,26/05/2026 8:36
TAS,P01,9,Jobe Stewart,15,216,FALSE,Chevrolet,top_speed,NaN,E:\2026\99_seasonTiming\05_TAS\top_speed\Practice 1.pdf,26/05/2026 8:36
TAS,P01,9,Jobe Stewart,16,249,FALSE,Chevrolet,top_speed,NaN,E:\2026\99_seasonTiming\05_TAS\top_speed\Practice 1.pdf,26/05/2026 8:36
TAS,P01,9,Jobe Stewart,17,248,FALSE,Chevrolet,top_speed,NaN,E:\2026\99_seasonTiming\05_TAS\top_speed\Practice 1.pdf,26/05/2026 8:36
TAS,P01,9,Jobe Stewart,18,247,FALSE,Chevrolet,top_speed,NaN,E:\2026\99_seasonTiming\05_TAS\top_speed\Practice 1.pdf,26/05/2026 8:36
TAS,P01,9,Jobe Stewart,19,248,FALSE,Chevrolet,top_speed,NaN,E:\2026\99_seasonTiming\05_TAS\top_speed\Practice 1.pdf,26/05/2026 8:36
TAS,P01,10,Zach Bates,1,243,FALSE,Chevrolet,top_speed,NaN,E:\2026\99_seasonTiming\05_TAS\top_speed\Practice 1.pdf,26/05/2026 8:36
TAS,P01,10,Zach Bates,2,100,FALSE,Chevrolet,top_speed,NaN,E:\2026\99_seasonTiming\05_TAS\top_speed\Practice 1.pdf,26/05/2026 8:36
TAS,P01,10,Zach Bates,3,249,FALSE,Chevrolet,top_speed,NaN,E:\2026\99_seasonTiming\05_TAS\top_speed\Practice 1.pdf,26/05/2026 8:36
TAS,P01,10,Zach Bates,4,250,FALSE,Chevrolet,top_speed,NaN,E:\2026\99_seasonTiming\05_TAS\top_speed\Practice 1.pdf,26/05/2026 8:36
TAS,P01,10,Zach Bates,5,250,FALSE,Chevrolet,top_speed,NaN,E:\2026\99_seasonTiming\05_TAS\top_speed\Practice 1.pdf,26/05/2026 8:36
TAS,P01,10,Zach Bates,6,251,FALSE,Chevrolet,top_speed,NaN,E:\2026\99_seasonTiming\05_TAS\top_speed\Practice 1.pdf,26/05/2026 8:36
TAS,P01,10,Zach Bates,7,246,FALSE,Chevrolet,top_speed,NaN,E:\2026\99_seasonTiming\05_TAS\top_speed\Practice 1.pdf,26/05/2026 8:36
TAS,P01,10,Zach Bates,8,250,FALSE,Chevrolet,top_speed,NaN,E:\2026\99_seasonTiming\05_TAS\top_speed\Practice 1.pdf,26/05/2026 8:36
